id|name|type|bucket
4636|[Oshi no Ko]|anime|200000
6266|[Oshi no Ko]|manga|200000
55192|100-man no Inochi no Ue ni Ore wa Tatteiru|anime|201033
57922|11eyes|anime|0
59201|20th Century Boys|manga|201001
59202|21st Century Boys|manga|201001
478|3-gatsu no Lion|anime|200005
549|3-gatsu no Lion|manga|200005
391|3-gatsu no Lion 2nd Season|anime|200005
52766|3D Kanojo: Real Girl|anime|201022
8574|5-toubun no Hanayome|manga|200007
6303|5-toubun no Hanayome ∬|anime|200007
4092|86|anime|200008
1735|86 Part 2|anime|200008
25450|91 Days|anime|0
26906|Absolute Duo|anime|0
4926|Accel World|anime|0
53731|Acchi Kocchi|anime|0
83875|Act-age|manga|0
53751|Aharen-san wa Hakarenai|anime|0
31327|Aho Girl|anime|0
54351|Air|anime|0
79396|Air Gear|manga|0
23890|Ajin|anime|200017
32399|Ajin|manga|200017
23891|Ajin Part 2|anime|200017
5566|Akagami no Shirayuki-hime|anime|200018
7560|Akagami no Shirayuki-hime|manga|200018
18862|Akagami no Shirayuki-hime 2nd Season|anime|200018
29346|Akame ga Kill!|anime|200019
39664|Akame ga Kill!|manga|200019
23259|Akatsuki no Yona|anime|200020
31556|Akatsuki no Yona|manga|200020
24073|Akatsuki no Yona OVA|anime|200020
21079|Akira|anime|200021
28680|Akira|manga|200021
67610|Aku no Hana|manga|0
3616|Akudama Drive|anime|0
55997|Akuma no Riddle|anime|0
81262|Akumetsu|manga|0
2222|Aldnoah.Zero|anime|200026
2223|Aldnoah.Zero Part 2|anime|200026
69061|All You Need Is Kill|manga|0
53875|Amaama to Inazuma|anime|0
4486|Amagi Brilliant Park|anime|0
54644|Amnesia|anime|0
14555|Angel Beats!|anime|200031
14642|Angel Beats! Another Epilogue|anime|200031
14556|Angel Beats! Specials|anime|200031
82612|Angel Densetsu|manga|0
80958|Annarasumanara|manga|0
16424|Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.|anime|200034
16425|Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie|anime|200034
81316|Another|manga|0
50153|Ansatsu Kyoushitsu|anime|200036
15356|Ansatsu Kyoushitsu|manga|200036
11199|Ansatsu Kyoushitsu 2nd Season|anime|200036
13877|Ao Ashi|anime|0
62100|Ao Haru Ride|manga|0
29653|Ao no Exorcist|anime|200039
40093|Ao no Exorcist|manga|200039
29654|Ao no Exorcist Movie|anime|200039
81574|Ao no Flag|manga|0
33852|Ao no Hako|manga|0
52786|Araburu Kisetsu no Otome-domo yo.|anime|0
20449|Aria the Benedizione|anime|0
20434|Aria the Natural|anime|0
20448|Aria the OVA: Arietta|anime|0
11913|Aria the Origination|anime|200046
20455|Aria the Origination: Sono Choppiri Himitsu no Basho ni...|anime|200046
1290|Arifureta Shokugyou de Sekai Saikyou|anime|200047
1732|Arifureta Shokugyou de Sekai Saikyou|manga|200277
55541|Aruiwa Sekai ga Hajimaru Seisen|anime|0
5444|Ashita no Joe|anime|200049
7377|Ashita no Joe|manga|200049
5427|Ashita no Joe 2|anime|200049
1324|Asobi Asobase|anime|0
9893|Azumanga Daioh|manga|201003
7250|Azumanga Daiou: The Animation|anime|201003
627|Azur Lane|game|200053
70988|Azur Lane|manga|200053
25896|Baby Steps 2nd Season|anime|0
10852|Baccano!|anime|200055
10853|Baccano! Specials|anime|200055
15244|Baka to Test to Shoukanjuu|anime|0
1810|Bakemono no Ko|anime|0
4763|Bakemonogatari|anime|200001
33388|Baki|anime|201018
19924|Bakuman.|anime|200060
20428|Bakuman.|manga|200060
15045|Bakuman. 2nd Season|anime|200060
15044|Bakuman. 3rd Season|anime|200060
3939|Ballroom e Youkoso|anime|0
13651|BanG Dream! 3rd Season|anime|200016
13653|BanG Dream! It's MyGO!!!!!|anime|200016
13652|BanG Dream! Movie: Episode of Roselia - II: Song I Am.|anime|200016
12164|Banana Fish|anime|200065
16634|Banana Fish|manga|200065
576|Barakamon|anime|0
69083|Bastard|manga|0
80605|Battle Royale|manga|0
81763|Beast Master|manga|0
5835|Beastars|anime|200070
5786|Beastars|manga|200070
5778|Beastars 2nd Season|anime|200070
13368|Beck|anime|200071
18221|Beck|manga|200071
312|Beelzebub|anime|200072
343|Beelzebub|manga|200072
53290|Ben-To|anime|0
793|Berserk|anime|200074
1080|Berserk|manga|200074
1937|Berserk: Ougon Jidai-hen III - Kourin|anime|200074
81802|Billy Bat|manga|0
38497|Bishoujo Senshi Sailor Moon|manga|200076
28467|Bishoujo Senshi Sailor Moon: Sailor Stars|anime|200076
84304|Bitter Virgin|manga|0
83146|Black Bird|manga|0
75663|Black Cat|manga|200079
55809|Black Cat (TV)|anime|200079
4953|Black Clover|anime|200080
6697|Black Clover|manga|200080
8498|Black Clover: Mahou Tei no Ken|anime|200080
23525|Black Lagoon|anime|200081
27878|Black Lagoon|manga|200081
25330|Black Lagoon: Roberta's Blood Trail|anime|200081
20484|Black Lagoon: The Second Barrage|anime|200081
68118|Blame!|manga|0
910|Bleach|anime|200083
1665|Bleach|manga|200083
39783|Bleach Movie 1: Memories of Nobody|anime|200083
39784|Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru|anime|200083
39774|Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu|anime|200083
39781|Bleach: Sennen Kessen-hen|anime|200083
39770|Bleach: Sennen Kessen-hen - Ketsubetsu-tan|anime|200083
6365|Blend S|anime|0
30972|Blood Lad|anime|200085
41923|Blood Lad|manga|200085
85051|Bloody Monday|manga|0
12707|Blue Archive|game|0
3073|Blue Lock|anime|200088
4190|Blue Lock|manga|200088
52398|Blue Period|anime|200089
70679|Blue Period|manga|200089
3214|Bocchi the Rock!|anime|0
84364|Boku Girl|manga|0
5557|Boku dake ga Inai Machi|anime|200092
7548|Boku dake ga Inai Machi|manga|200092
29147|Boku no Hero Academia|anime|200093
1190|Boku no Hero Academia|manga|200093
942|Boku no Hero Academia 2nd Season|anime|200093
943|Boku no Hero Academia 3rd Season|anime|200093
944|Boku no Hero Academia 5th Season|anime|200093
876|Boku no Hero Academia 6th Season|anime|200093
4154|Boku no Hero Academia the Movie 1: Futari no Hero|anime|200093
20123|Boku no Hero Academia the Movie 2: Heroes:Rising|anime|200093
948|Boku no Hero Academia the Movie 3: World Heroes' Mission|anime|200093
55671|Boku no Kanojo ga Majimesugiru Sho-bitch na Ken|anime|0
18159|Boku no Kokoro no Yabai Yatsu|anime|0
82393|Boku wa Mari no Naka|manga|0
29409|Boku wa Tomodachi ga Sukunai Next|anime|0
83917|Bokura ga Ita|manga|0
84805|Bokura wa Minna Kawai-sou|manga|0
52848|Bokutachi no Remake|anime|0
32543|Bokutachi wa Benkyou ga Dekinai|anime|200101
44070|Bokutachi wa Benkyou ga Dekinai|manga|200101
32544|Bokutachi wa Benkyou ga Dekinai!|anime|200101
679|Boruto: Naruto Next Generations|manga|200601
487|Boruto: Naruto the Movie|anime|200601
79705|Btooom!|manga|0
22052|Buddy Daddies|anime|0
1859|Bungou Stray Dogs|manga|200106
1942|Bungou Stray Dogs 2nd Season|anime|200106
2299|Bungou Stray Dogs 3rd Season|anime|200106
1387|Bungou Stray Dogs 4th Season|anime|200106
1386|Bungou Stray Dogs 5th Season|anime|200106
2229|Bungou Stray Dogs Wan!|anime|200106
2230|Bungou Stray Dogs: Dead Apple|anime|200106
29687|Byousoku 5 Centimeter|anime|0
54005|C: The Money of Soul and Possibility Control|anime|0
21150|Cardcaptor Sakura|anime|200109
21497|Cardcaptor Sakura|manga|200109
15821|Cardcaptor Sakura Movie 2: Fuuin Sareta Card|anime|200109
53416|Carole & Tuesday|anime|0
36764|Chainsaw Man|anime|200111
49455|Chainsaw Man|manga|200111
13425|Chi no Wadachi|manga|0
188|Chihayafuru|manga|200113
635|Chihayafuru 2|anime|200113
132|Chihayafuru 3|anime|200113
84136|Chikan Otoko|manga|0
28874|Chobits|anime|200115
22044|Chobits|manga|200115
56275|Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!|anime|0
84556|Choujin X|manga|0
30630|Chuunibyou demo Koi ga Shitai! Movie: Take On Me|anime|0
30149|Chuunibyou demo Koi ga Shitai! Ren|anime|0
55007|ChäoS;HEAd|anime|0
18358|Citrus|anime|200121
24972|Citrus|manga|200121
14824|City Hunter 2|anime|0
14731|Clannad|anime|200123
796|Clannad: After Story|anime|200123
797|Clannad: After Story - Mou Hitotsu no Sekai|anime|200123
803|Clannad: Mou Hitotsu no Sekai|anime|200123
4326|Claymore|anime|200124
